eesim,ersim
0.0093338491124463,-0.00379277099958332
-0.000468482222021204,-0.00782594698303505
0.00783370960711017,0.00989153315318595
0.00829530832951149,0.000983959500259498
0.0285581053036926,0.0176834298025414
0.0227450599260734,0.019327769183627
-0.0103786519469258,0.00286111333535949
0.00865564744000227,0.00657866833856194
0.0131610144498236,0.0130526067971796
0.0289240865717048,0.00863631646686073
0.0103818022807838,0.0162832223073154
0.00786918943363294,0.00436903167553828
0.0119127627516384,0.0241673220590683
0.00757453065727893,-0.00442286756068288
0.00824132706256345,0.0107099892824939
0.0141523193807558,-0.00954799170248144
0.0220608868376188,-0.00257180709436473
0.00244905773563042,0.00151740888619469
0.0210060256313823,0.00237319769815131
0.00473124182769157,0.00954498732832764
0.00342237109273123,0.00737861863369882
