fusiform,parietal,leftFrontal,rightFrontal
-1.59216515313894,-1.24339018888964,-0.330978971006524,-2.46051136186967
-1.66170379279537,-1.87884850225187,-0.890109553710263,-1.1847632760182
-0.849687552618646,-0.496227318966954,-0.471575608142676,0.108434669091366
-0.680539378150782,-0.969365756582696,-0.583642759686734,0.461307245655917
-0.834279407839143,-0.108418022872527,-1.04195185828731,-0.633426626057675
-1.45787049755637,-2.15756364843408,-0.528175514439742,-0.964720367065941
-0.504661654932947,-0.266511666452667,-0.538732334191346,-0.240966614137622
-1.08035722656729,-1.95806599990675,0.357613711264627,-0.00392791295113663
-1.1541817977091,-2.02396727006497,-0.367876677499272,-0.713114720468487
-0.896215843052719,-1.19457191864735,-0.559304182807732,-0.71791023951179
-2.33802376984185,-1.80816182982305,-1.0811898615052,-0.896429111696004
-0.691973720193648,-0.168735432820523,0.155165582369917,-0.0393319765377479
-1.73642756336751,-2.58470533011032,-1.10708647972753,-1.08224707182186
-1.52480661443193,-0.440438364873287,-0.155004093250355,1.22288881901962
-3.48128772078275,-3.69969831259343,-1.74216254994921,-1.18886814794193
-2.16282475445733,-2.00319957396821,-0.596279031191117,-1.33054096422469
-1.26296370961213,-1.81731253130169,-0.887777660710689,-0.0306933278916404
-1.59472875623912,-0.379476579155066,-0.382274113688021,-0.792874363535329
-0.967475365524635,0.441871815128252,-0.249087131060819,-0.787258569539214
-0.807312949347596,-0.930213119900889,-0.0664212914167816,-0.673482522834092
-1.83342673820114,-0.979728444868795,-0.77092671696033,-0.635275852517225
