occipital,parietal
-1.51338026246454,-0.790937048121751
-0.703826655319952,-0.520208511267045
-0.402417360442144,-0.643863160431171
-0.48504298332744,-0.455167501628828
-1.31124948682118,-0.58178279983054
-1.61746886993963,-1.05859713342121
-0.332906988902904,-0.190175544644753
-0.576515842644518,-0.0482818214423794
-1.09138160952087,-0.315368665261663
-0.8322639795099,-0.0370142715279576
-0.765086375052221,0.0932382528516028
-0.824777882916348,0.0150316397947588
-1.07698299903164,-0.269611132713102
-1.19890275241006,-1.02672006436389
-0.436243801711394,-0.796829365669555
-0.52487430526524,-0.482705432512938
-0.434441360857387,-0.752743284372117
-0.629929619524488,-1.6136648377283
-0.503402287103653,-0.5920903239426
-0.138084457672686,-1.09373224499843
-0.971215425685591,-1.06824243778912
